symbol,provider_symbol,asset_class,region,provider
asx/BB1,BB1.AX,stock,AU,yahoo
asx/BBC,BBC.AX,stock,AU,yahoo
asx/BBL,BBL.AX,stock,AU,yahoo
asx/BBN,BBN.AX,stock,AU,yahoo
asx/BBT,BBT.AX,stock,AU,yahoo
asx/BC8,BC8.AX,stock,AU,yahoo
asx/BCA,BCA.AX,stock,AU,yahoo
asx/BCB,BCB.AX,stock,AU,yahoo
asx/BCC,BCC.AX,stock,AU,yahoo
asx/BCI,BCI.AX,stock,AU,yahoo
asx/BCK,BCK.AX,stock,AU,yahoo
asx/BCM,BCM.AX,stock,AU,yahoo
asx/BCN,BCN.AX,stock,AU,yahoo
asx/BDM,BDM.AX,stock,AU,yahoo
asx/BDX,BDX.AX,stock,AU,yahoo
asx/BEL,BEL.AX,stock,AU,yahoo
asx/BEN,BEN.AX,stock,AU,yahoo
asx/BEO,BEO.AX,stock,AU,yahoo
asx/BET,BET.AX,stock,AU,yahoo
asx/BEZ,BEZ.AX,stock,AU,yahoo
asx/BFG,BFG.AX,stock,AU,yahoo
asx/BFL,BFL.AX,stock,AU,yahoo
asx/BGA,BGA.AX,stock,AU,yahoo
asx/BGD,BGD.AX,stock,AU,yahoo
asx/BGE,BGE.AX,stock,AU,yahoo
asx/BGL,BGL.AX,stock,AU,yahoo
asx/BGP,BGP.AX,stock,AU,yahoo
asx/BGT,BGT.AX,stock,AU,yahoo
asx/BHD,BHD.AX,stock,AU,yahoo
asx/BHL,BHL.AX,stock,AU,yahoo
asx/BHM,BHM.AX,stock,AU,yahoo
asx/BHP,BHP.AX,stock,AU,yahoo
asx/BIM,BIM.AX,stock,AU,yahoo
asx/BIO,BIO.AX,stock,AU,yahoo
asx/BIS,BIS.AX,stock,AU,yahoo
asx/BIT,BIT.AX,stock,AU,yahoo
asx/BITO,BITO.AX,stock,AU,yahoo
asx/BKB,BKB.AX,stock,AU,yahoo
asx/BKI,BKI.AX,stock,AU,yahoo
asx/BKT,BKT.AX,stock,AU,yahoo
asx/BKY,BKY.AX,stock,AU,yahoo
asx/BLG,BLG.AX,stock,AU,yahoo
asx/BLU,BLU.AX,stock,AU,yahoo
asx/BLX,BLX.AX,stock,AU,yahoo
asx/BLZ,BLZ.AX,stock,AU,yahoo
asx/BM1,BM1.AX,stock,AU,yahoo
asx/BM8,BM8.AX,stock,AU,yahoo
asx/BMC,BMC.AX,stock,AU,yahoo
asx/BMG,BMG.AX,stock,AU,yahoo
asx/BMH,BMH.AX,stock,AU,yahoo
asx/BML,BML.AX,stock,AU,yahoo
asx/BMM,BMM.AX,stock,AU,yahoo
asx/BMMO,BMMO.AX,stock,AU,yahoo
asx/BMN,BMN.AX,stock,AU,yahoo
asx/BMR,BMR.AX,stock,AU,yahoo
asx/BMT,BMT.AX,stock,AU,yahoo
asx/BNDS,BNDS.AX,stock,AU,yahoo
asx/BNL,BNL.AX,stock,AU,yahoo
asx/BNR,BNR.AX,stock,AU,yahoo
asx/BNZ,BNZ.AX,stock,AU,yahoo
asx/BOA,BOA.AX,stock,AU,yahoo
asx/BOC,BOC.AX,stock,AU,yahoo
asx/BOE,BOE.AX,stock,AU,yahoo
asx/BOL,BOL.AX,stock,AU,yahoo
asx/BOQ,BOQ.AX,stock,AU,yahoo
asx/BOT,BOT.AX,stock,AU,yahoo
asx/BP8,BP8.AX,stock,AU,yahoo
asx/BPG,BPG.AX,stock,AU,yahoo
asx/BPH,BPH.AX,stock,AU,yahoo
asx/BPM,BPM.AX,stock,AU,yahoo
asx/BPP,BPP.AX,stock,AU,yahoo
asx/BPT,BPT.AX,stock,AU,yahoo
asx/BRE,BRE.AX,stock,AU,yahoo
asx/BRG,BRG.AX,stock,AU,yahoo
asx/BRI,BRI.AX,stock,AU,yahoo
asx/BRK,BRK.AX,stock,AU,yahoo
asx/BRL,BRL.AX,stock,AU,yahoo
asx/BRN,BRN.AX,stock,AU,yahoo
asx/BRU,BRU.AX,stock,AU,yahoo
